Title,Year,Male Authors,Female Authors,Unknown Gender Authors,First Author Female,Last Author Female,Total Authors
Logistics Processes Modelled in S-BPM and implemented in SAP to reduce Production Lead Times,2016,3,0,0,False,False,3
S-BPM implementation in CUBA Platform for rapid application development,2016,2,0,0,False,False,2
"Towards an open, curious S-BPM community: eliciting stakeholder needs",2015,1,0,0,False,False,1
Exploring ACM and S-BPM for Modelling Human-centric Processes: An Empirical Comparison,2016,1,2,0,False,True,3
ADIGE: semantic business process management for smart retail environments,2015,5,0,0,False,False,5
Shared Business Objects for Paperless Public Management Processes,2016,2,0,0,False,False,2
Towards context-aware processes in people-centered factories of the future,2015,5,1,0,False,False,6
Working with Natural Language Texts for Process Management: Proposal and Analysis of a Process Analysis Methodology,2016,1,0,1,False,False,2
A Method for Modeling Business Processes in a Role-based and Decentralized Way,2016,2,0,0,False,False,2
Continuous Software Engineering with Special Emphasis on Continuous Business-Process Modeling and Human-Centered Design,2016,1,0,0,False,False,1
Towards a Modeling Method for Business Process Oriented Organizational Life Cycle Assessment,2020,1,0,0,False,False,1
An exploratory study on role-based collaborative business process modeling approaches,2015,2,0,0,False,False,2
The Butterfly: An Intelligent Framework for Violation Prediction within Business Processes,2016,2,1,0,False,True,3
Agent-based Business Process Orchestration for IoT,2019,1,2,0,False,True,3
An approach from statistical mechanics for collaborative business social network reconstruction,2015,4,1,0,False,False,5
PROWIT: integrated web 2.0 business process collaboration service-platform,2011,2,0,0,False,False,2
Investigating the Collaborative Process of Subtitles Creation and Sharing for Videos on the Web,2017,2,1,0,True,False,3
Semantic annotation of BPMN: current approaches and new methodologies,2015,3,1,0,False,False,4
"How, Who and When: Enhancing Business Process Warehouses By Graph Based Queries",2016,4,2,0,True,True,6
Communication Semantics for IoT-aware Business Process Management Systems,2024,1,0,0,False,False,1
Correlation Between Social Media and Non-Technical Business Process Management in Small and Medium Enterprises,2023,0,4,0,True,True,4
An extended subject-oriented business process management execution semantics,2019,3,0,0,False,False,3
A CoreASM based reference implementation for subject-oriented business process management execution semantics,2019,3,0,0,False,False,3
Design and Realisation of Scalable Business Process Management Systems for Deployment in the Cloud,2021,3,0,1,False,False,4
Business process management in small- and medium-sized enterprises: an empirical study,2015,1,0,0,False,False,1
Dynamic update of business process management,2017,1,0,0,False,False,1
The Deployment of an Enhanced Model-Driven Architecture for Business Process Management,2018,1,0,0,False,False,1
Major Issues in Business Process Management: Key Concerns presented in Academy from a Brazilian Perspective,2015,1,1,0,False,True,2
Using the Business Digital Simulation Game of MonsoonSIM in the Business Process Management Course for Creating Knowledge and Understanding of University Students,2024,0,1,0,True,True,1
Digital Transformation Model Based on Business Process Management and Lean Manufacturing to Increase the Productivity of the Administrative Area of a Peruvian Aeronautical Company,2023,2,2,0,True,False,4
Business process management (BPM) in a day,2014,1,0,0,False,False,1
BPMS-RA: A Novel Reference Architecture for Business Process Management Systems,2019,3,0,1,False,False,4
Organizational ontologies to support semantic business process management,2009,2,3,0,True,True,5
Business process management in a day,2015,1,0,0,False,False,1
Business process management (BPM) in a day,2013,2,0,0,False,False,2
Business process management (BPM) in a day,2012,1,0,0,False,False,1
Business process management (BPM) in a day,2010,1,0,0,False,False,1
Semantic web service engineering for semantic business process management,2009,3,1,0,False,False,4
Simulation standard for business process management,2011,2,0,0,False,False,2
Ontology-based semantic matching for business process management,2010,1,0,1,False,False,2
Business process management adoption: a case study of a South African supermarket retailer,2011,1,1,0,False,True,2
Incremental implementation of automated guided vehicle-based logistics using S-BPM: experience report of a digitalization project at ENGEL Austria,2019,2,0,0,False,False,2
Can you see the wood for the trees? collection and compilation of agility models for BPM,2019,2,1,0,False,False,3
Supply Chain Resilience Support in S-BPM,2018,1,0,0,False,False,1
"Ten Years After: Quo Vadis, S-BPM?",2018,1,0,0,False,False,1
Existing and future standards for event-driven business process management,2009,6,0,0,False,False,6
Stakeholder-centered Process Implementation: Assessing S-BPM Tool Support,2017,3,0,0,False,False,3
Location-aware business process management for real-time monitoring of a cardiac care process,2013,3,0,0,False,False,3
Subject-oriented specification of IoT scenarios,2019,1,1,0,True,False,2
SLA-driven business process management in SOA,2009,5,0,0,False,False,5
Applying agile methods and personas to S-BPM,2019,1,1,0,False,True,2
Some say Digitalization - others say IT-enabled Process Management thought through to the End,2017,3,1,0,False,False,4
3rd Event-Driven Business Process Management Workshop (edBPM),2009,5,0,0,False,False,5
Lifecycle of composite business applications enabled by WebSphere Business Process Management,2009,0,2,0,True,True,2
APRUMO (Agile Process Modeling) – A Method to Process Modeling Using Agile BPM,2020,2,2,0,False,True,4
Automatic Tool Support Possibilities for the Text-Based S-BPM Process Modelling Methodology,2016,1,0,1,False,False,2
Industry 4.0 Standardisation: Where Does S-BPM Fit?,2018,2,0,0,False,False,2
Conformance checking: a state-of-the-art literature review,2019,4,0,0,False,False,4
Meeting Industrie 4.0 Challenges with S-BPM,2018,1,0,0,False,False,1
BizDevOps and the Role of S-BPM,2018,1,0,0,False,False,1
"Real time patient flow management using business process management, location tags, and complex events processing",2013,2,0,0,False,False,2
"Digital Transformation, Smart Factories, and Virtual Design: Contributions of Subject Orientation",2018,2,1,0,False,False,3
Towards BPM Skill Assessment using Computerized Adaptive Testing,2017,3,0,0,False,False,3
Towards a comprehensive understanding of the context concepts in context-aware business processes,2019,0,2,3,False,True,5
Universal Artifacts: A New Approach to Business Process Management (BPM) Systems,2016,2,0,1,False,False,3
The convergence of business process management and service oriented architecture,2007,1,0,0,False,False,1
A roadmap towards the convergence of business process management and service oriented architecture,2007,1,0,0,False,False,1
S-BPM in Surgery Simulation Training,2016,2,0,1,False,False,3
Resilient Ontology Support Facilitating Multi-Perspective Process Integration in Industry 4.0,2018,4,1,0,True,False,5
Fast Synthetic Data-Aware Log Generation for Temporal Declarative Models,2023,1,0,0,False,False,1
Integrating Business Processes and Manufacturing Operations Based on S-BPM and B2MML,2016,3,0,0,False,False,3
Reuse of models in S-BPM process specifications,2015,1,0,0,False,False,1
Agent-Based Business Process Modeling and Execution: Steps Towards a Compiler-Virtual Machine Architecture,2016,1,0,0,False,False,1
Modeling complex process systems with subject-oriented means,2019,1,0,1,False,False,2
Smart Business Processing in Industry 4.0,2023,3,0,0,False,False,3
"Dependable data sharing in dynamic IoT-systems: subject-oriented process design, complex event processing, and blockchains",2019,2,0,0,False,False,2
Business-Actors as base components of complex and distributed software applications,2016,4,0,0,False,False,4
Next step recommendation and prediction based on process mining in adaptive case management,2015,2,1,0,False,False,3
Towards the automated business process building by means of type theory,2015,5,0,0,False,False,5
Adaptive open innovation: solution approach and tool support,2015,3,0,0,False,False,3
Actor Based Business Process Automation via Intelligent Business Objects,2017,2,0,0,False,False,2
"Process Culture: Maturity, Drivers, and Barriers",2016,0,1,0,True,True,1
CSPm models for the ATM case study,2015,1,0,0,False,False,1
Leveraging CMMN for ACM: examining the applicability of a new OMG standard for adaptive case management,2015,4,0,0,False,False,4
The Semantic Exchange Standard for Subject-Oriented Process Models,2018,1,0,1,False,False,2
Dealing with Process Complexity: A Multiperspective Approach,2018,1,0,0,False,False,1
BPM Maturity Models: A Qualitative Study under the Perspective of Specialists,2015,1,2,0,True,False,3
Subject-Orientation and Agility,2018,1,0,0,False,False,1
Sisi in the ALPS: A Simple Simulation and Verification Approach for PASS,2018,0,1,1,False,True,2
Designing the Learning Process: The IOLAOS Platform,2018,2,0,0,False,False,2
Measuring Process Experience: A Collaborative Modelling Instrument for Determining the Impact of a New Law on Public Service Experience,2018,3,2,0,False,False,5
"Supporting People-Driven, Dynamic and Geo-Located Work Processes",2018,4,0,0,False,False,4
Validation of Business Process Models through Interactively Enacted Simulation,2018,2,0,0,False,False,2
Using Machine Learning to Classify Process Model Elements for Process Infrastructure Analysis,2023,2,1,0,False,True,3
How Organizational Culture influences BPM Evolution,2015,0,1,1,False,True,2
Subject-oriented Design of Smart Hyper-connected Logistics Systems,2017,2,0,0,False,False,2
Subject-oriented plural method meets BPMN: a case study,2015,2,0,1,False,False,3
Proposal for Using Semantic Technologies as a Means to Store and Exchange Subject-Oriented Process Models,2017,0,0,1,False,False,1
Business Process Elaboration through Virtual Enactment,2017,1,0,0,False,False,1
Subject-Oriented Specification of Smart Environments,2017,0,0,2,False,False,2
Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,3,0,0,False,False,3
Orchestrating Privacy Enhancing Technologies and Services with BPM Tools: The WITDOM Data Protection Orchestrator,2017,5,1,0,False,False,6
Ontology-based metrics computation for business process analysis,2009,2,0,0,False,False,2
"Best Practice (BPM): In business process management, finding the right tool suite is just the beginning.",2006,1,0,0,False,False,1
Three Dimensions of Process Models Regarding their Execution,2016,2,0,0,False,False,2
Commercial Management Model based on the DFSS and BPM Methodology to Increase Liquidity in SMEs in the Retail Commercial Sector,2023,1,2,0,False,True,3
