Article Title,Author Name,First Name,Gender,Probability,Reliable
Business process management and digital transition. The case study of an Italian Public University,"Ammirato, Salvatore",Salvatore,male,0.9994968758328141,True
Business process management and digital transition. The case study of an Italian Public University,"Cutrì, Laura",Laura,female,0.9999801813992499,True
Business process management and digital transition. The case study of an Italian Public University,"Felicetti, Alberto Michele",Alberto,male,0.999883773371713,True
Business process management and digital transition. The case study of an Italian Public University,"Di Maio, Fabrizio",Fabrizio,male,0.9999395873949303,True
Leveraging the industrial internet of things for business process improvement: a metamodel and patterns,"Stoiber, Christoph",Christoph,male,0.9996516899838754,True
Leveraging the industrial internet of things for business process improvement: a metamodel and patterns,"Schönig, Stefan",Stefan,male,0.9999828177008523,True
Still doing it yourself? Investigating determinants for the adoption of intelligent process automation,"Mayr, Alexander",Alexander,male,0.9999913004583698,True
Still doing it yourself? Investigating determinants for the adoption of intelligent process automation,"Stahmann, Philip",Philip,male,0.9999254046730869,True
Still doing it yourself? Investigating determinants for the adoption of intelligent process automation,"Nebel, Maximilian",Maximilian,male,0.9998238213451786,True
Still doing it yourself? Investigating determinants for the adoption of intelligent process automation,"Janiesch, Christian",Christian,male,0.9993892784078892,True
Exploring the Limitations of Business Process Maturity Models: A Systematic Literature Review,"Smajli, Ensi",Ensi,female,0.9220347870502325,True
Exploring the Limitations of Business Process Maturity Models: A Systematic Literature Review,"Feldman, Gerald",Gerald,male,0.9999556179892177,True
Exploring the Limitations of Business Process Maturity Models: A Systematic Literature Review,"Cox, Sharon",Sharon,female,0.9994337531947127,True
INTEGRATED MODEL OF RISK MANAGEMENT IN BUSINESS PROCESSES IN INDUSTRIAL SYSTEMS,"Stojic, N.",N.,unknown,0.5249442305608816,False
INTEGRATED MODEL OF RISK MANAGEMENT IN BUSINESS PROCESSES IN INDUSTRIAL SYSTEMS,"Delic, M.",M.,unknown,0.5265376348604246,False
INTEGRATED MODEL OF RISK MANAGEMENT IN BUSINESS PROCESSES IN INDUSTRIAL SYSTEMS,"Bojanic, T.",T.,unknown,0.5395410370845364,False
INTEGRATED MODEL OF RISK MANAGEMENT IN BUSINESS PROCESSES IN INDUSTRIAL SYSTEMS,"Jokanovic, B.",B.,unknown,0.5457824593494744,False
INTEGRATED MODEL OF RISK MANAGEMENT IN BUSINESS PROCESSES IN INDUSTRIAL SYSTEMS,"Tasic, N.",N.,unknown,0.5249442305608816,False
R-IO SUITE: integration of LLM-based AI into a knowledge management and model-driven based platform dedicated to crisis management,"Congès, Aurélie",Aurélie,female,0.9990719888566209,True
R-IO SUITE: integration of LLM-based AI into a knowledge management and model-driven based platform dedicated to crisis management,"Fertier, Audrey",Audrey,female,0.9996509612157868,True
R-IO SUITE: integration of LLM-based AI into a knowledge management and model-driven based platform dedicated to crisis management,"Salatgé, Nicolas",Nicolas,male,0.9999785911728513,True
R-IO SUITE: integration of LLM-based AI into a knowledge management and model-driven based platform dedicated to crisis management,"Rebière, Sébastien",Sébastien,male,0.9969569837859285,True
R-IO SUITE: integration of LLM-based AI into a knowledge management and model-driven based platform dedicated to crisis management,"Benaben, Frederick",Frederick,male,0.999942547328335,True
