Year,Male Authors,Percentage Male Authors,Female Authors,Percentage Female Authors,Unknown Gender Authors,Percentage Unknown Gender Authors,Articles with at least one woman,Percentage Articles with at least one woman,Articles with female first author,Percentage Articles with female first author,Articles with female last author,Percentage Articles with female last author,Total Articles,Total Authors
2010,364,71.65,98,19.29,46,9.06,70,41.67,32,19.05,32,19.05,168,508
2011,719,69.0,197,18.91,126,12.09,146,43.2,62,18.34,56,16.57,338,1042
2012,642,67.72,176,18.57,130,13.71,127,41.78,49,16.12,42,13.82,304,948
2013,750,69.7,227,21.1,99,9.2,165,46.35,85,23.88,71,19.94,356,1076
2014,620,69.58,186,20.88,85,9.54,134,46.85,67,23.43,43,15.03,286,891
2015,17,73.91,4,17.39,2,8.7,3,60.0,0,0.0,1,20.0,5,23
TOTAL,3112,69.34,888,19.79,488,10.87,645,44.27,295,20.25,245,16.82,1457,4488
