Article Title,Author Name,First Name,Gender,Probability,Reliable
Bridging the business-IT divide using BPM: challenges and opportunities,"AbdelRazik, Mohamed",Mohamed,male,0.9999971268152898,True
Bridging the business-IT divide using BPM: challenges and opportunities,"Wong, Janette",Janette,female,0.9999857428542542,True
Bridging the business-IT divide using BPM: challenges and opportunities,"Czarnecki, Krzysztof",Krzysztof,male,0.9999579894277437,True
Bridging the business-IT divide using BPM: challenges and opportunities,"Nigul, Leho",Leho,male,0.9983937522802694,True
Towards an Integration System for Artifact-centric Processes,"Abi Assaf, Maroun",Maroun,male,0.9983639772127082,True
Editorial: “Business Process Intelligence: Connecting Data and Processes”,"Aalst, Wil Van Der",Wil,male,0.9988491702309068,True
Editorial: “Business Process Intelligence: Connecting Data and Processes”,"Zhao, J. Leon",,unknown,0,False
Editorial: “Business Process Intelligence: Connecting Data and Processes”,"Wang, Harry Jiannan",Harry,male,0.9997201104874271,True
The Entanglement of Enterprise Architecture and IT-Governance: The Cases of Norway and the Netherlands,"Aagesen, Gustav",Gustav,male,0.9999889917977837,True
The Entanglement of Enterprise Architecture and IT-Governance: The Cases of Norway and the Netherlands,"van Veenstra, Anne Fleur",Anne,female,0.9999910090887604,True
The Entanglement of Enterprise Architecture and IT-Governance: The Cases of Norway and the Netherlands,"Janssen, Marijn",Marijn,unknown,0.6991258488869239,False
The Entanglement of Enterprise Architecture and IT-Governance: The Cases of Norway and the Netherlands,"Krogstie, John",John,male,0.9999985032120171,True
Process model matching using heuristic search,"Abdelkader, Mostefai",Mostefai,male,0.574013886849099,False
Process model matching using heuristic search,"Rodriguez De Guzman, Ignacio Garcia",Ignacio,male,0.9999054231007377,True
A Metaheuristic Framework for Energy-Intensive Industries With Batch Processing Machines,"Abedi, Mehdi",Mehdi,male,0.9998841882341889,True
A Metaheuristic Framework for Energy-Intensive Industries With Batch Processing Machines,"Chiong, Raymond",Raymond,male,0.9999627275908509,True
A Metaheuristic Framework for Energy-Intensive Industries With Batch Processing Machines,"Noman, Nasimul",Nasimul,male,0.9962428675269994,True
A Metaheuristic Framework for Energy-Intensive Industries With Batch Processing Machines,"Liao, Xiaoya",Xiaoya,female,0.990657685893001,True
A Metaheuristic Framework for Energy-Intensive Industries With Batch Processing Machines,"Li, Debiao",Debiao,male,0.9991442293660968,True
Semantic Modelling of Collaborative Business Processes,"Abramowicz, Witold",Witold,male,0.999973414620794,True
Semantic Modelling of Collaborative Business Processes,"Haniewicz, Konstanty",Konstanty,male,0.9985059749852797,True
Semantic Modelling of Collaborative Business Processes,"Kaczmarek, Monika",Monika,female,0.999996989457821,True
Semantic Modelling of Collaborative Business Processes,"Zyskowski, Dominik",Dominik,male,0.9999341703754147,True
Sustainability Assessment of Remanufacturing Waste Sheet Steel Into Angle Mesh Steel,"Abdullah, Ziyad Tariq",Ziyad,male,0.9999414664897398,True
"Service Mining: Using Process Mining to Discover, Check, and Improve Service Behavior","Aalst, Wil van der",Wil,male,0.9988491702309068,True
Application of Business Process Management in the Libyan International Medical University: History and Development,"Abdelnabi, Esra A.",Esra,female,0.9999688800388199,True
Application of Business Process Management in the Libyan International Medical University: History and Development,"Fadel, Maram A.",Maram,female,0.9995220477329892,True
Application of Business Process Management in the Libyan International Medical University: History and Development,"Erhoma, Latifa A.",Latifa,female,0.9999976514586271,True
Application of Business Process Management in the Libyan International Medical University: History and Development,"Elbarghathi, Bariq A.",Bariq,male,0.9936969067020354,True
Improving Digital Onboarding Processes for Financial Services - A Multivocal Literature Review,"Aamer, Tanel",Tanel,male,0.9918559872070382,True
Improving Digital Onboarding Processes for Financial Services - A Multivocal Literature Review,"Milani, Fredrik",Fredrik,male,0.999965637511437,True
