An approach from statistical mechanics for collaborative business social network reconstruction,2015,4,1,0,False,False,5
PROWIT: integrated web 2.0 business process collaboration service-platform,2011,2,0,0,False,False,2
Investigating the Collaborative Process of Subtitles Creation and Sharing for Videos on the Web,2017,2,1,0,True,False,3
Semantic annotation of BPMN: current approaches and new methodologies,2015,3,1,0,False,False,4
"How, Who and When: Enhancing Business Process Warehouses By Graph Based Queries",2016,4,2,0,True,True,6
Communication Semantics for IoT-aware Business Process Management Systems,2024,1,0,0,False,False,1
Correlation Between Social Media and Non-Technical Business Process Management in Small and Medium Enterprises,2023,0,4,0,True,True,4
An extended subject-oriented business process management execution semantics,2019,3,0,0,False,False,3
A CoreASM based reference implementation for subject-oriented business process management execution semantics,2019,3,0,0,False,False,3
Design and Realisation of Scalable Business Process Management Systems for Deployment in the Cloud,2021,3,0,1,False,False,4
Business process management in small- and medium-sized enterprises: an empirical study,2015,1,0,0,False,False,1
Dynamic update of business process management,2017,1,0,0,False,False,1
The Deployment of an Enhanced Model-Driven Architecture for Business Process Management,2018,1,0,0,False,False,1
Major Issues in Business Process Management: Key Concerns presented in Academy from a Brazilian Perspective,2015,1,1,0,False,True,2
Using the Business Digital Simulation Game of MonsoonSIM in the Business Process Management Course for Creating Knowledge and Understanding of University Students,2024,0,1,0,True,True,1
Digital Transformation Model Based on Business Process Management and Lean Manufacturing to Increase the Productivity of the Administrative Area of a Peruvian Aeronautical Company,2023,2,2,0,True,False,4
Business process management (BPM) in a day,2014,1,0,0,False,False,1
BPMS-RA: A Novel Reference Architecture for Business Process Management Systems,2019,3,0,1,False,False,4
Organizational ontologies to support semantic business process management,2009,2,3,0,True,True,5
Business process management in a day,2015,1,0,0,False,False,1
Business process management (BPM) in a day,2013,2,0,0,False,False,2
Business process management (BPM) in a day,2012,1,0,0,False,False,1
Business process management (BPM) in a day,2010,1,0,0,False,False,1
Semantic web service engineering for semantic business process management,2009,3,1,0,False,False,4
Simulation standard for business process management,2011,2,0,0,False,False,2
Ontology-based semantic matching for business process management,2010,1,0,1,False,False,2
Business process management adoption: a case study of a South African supermarket retailer,2011,1,1,0,False,True,2
Incremental implementation of automated guided vehicle-based logistics using S-BPM: experience report of a digitalization project at ENGEL Austria,2019,2,0,0,False,False,2
Can you see the wood for the trees? collection and compilation of agility models for BPM,2019,2,1,0,False,False,3
Supply Chain Resilience Support in S-BPM,2018,1,0,0,False,False,1
"Ten Years After: Quo Vadis, S-BPM?",2018,1,0,0,False,False,1
Existing and future standards for event-driven business process management,2009,6,0,0,False,False,6
Stakeholder-centered Process Implementation: Assessing S-BPM Tool Support,2017,3,0,0,False,False,3
Location-aware business process management for real-time monitoring of a cardiac care process,2013,3,0,0,False,False,3
Subject-oriented specification of IoT scenarios,2019,1,1,0,True,False,2
SLA-driven business process management in SOA,2009,5,0,0,False,False,5
Applying agile methods and personas to S-BPM,2019,1,1,0,False,True,2
Some say Digitalization - others say IT-enabled Process Management thought through to the End,2017,3,1,0,False,False,4
3rd Event-Driven Business Process Management Workshop (edBPM),2009,5,0,0,False,False,5
Lifecycle of composite business applications enabled by WebSphere Business Process Management,2009,0,2,0,True,True,2
APRUMO (Agile Process Modeling) – A Method to Process Modeling Using Agile BPM,2020,2,2,0,False,True,4
