Year,Male Authors,Percentage Male Authors,Female Authors,Percentage Female Authors,Unknown Gender Authors,Percentage Unknown Gender Authors,Articles with at least one woman,Percentage Articles with at least one woman,Articles with female first author,Percentage Articles with female first author,Articles with female last author,Percentage Articles with female last author,Total Articles,Total Authors
1979,0,0.0,0,0.0,5,100.0,0,0.0,0,0.0,0,0.0,1,5
1990,2,66.67,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,1,3
1991,1,12.5,0,0.0,7,87.5,0,0.0,0,0.0,0,0.0,3,8
1992,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1
1993,4,57.14,0,0.0,3,42.86,0,0.0,0,0.0,0,0.0,3,7
1994,0,0.0,0,0.0,4,100.0,0,0.0,0,0.0,0,0.0,2,4
1995,6,31.58,0,0.0,13,68.42,0,0.0,0,0.0,0,0.0,9,19
1996,0,0.0,0,0.0,16,100.0,0,0.0,0,0.0,0,0.0,5,16
1997,11,25.0,5,11.36,28,63.64,4,25.0,3,18.75,2,12.5,16,44
1998,7,19.44,1,2.78,28,77.78,1,10.0,1,10.0,0,0.0,10,36
1999,21,36.21,0,0.0,37,63.79,0,0.0,0,0.0,0,0.0,15,58
2000,9,45.0,0,0.0,11,55.0,0,0.0,0,0.0,0,0.0,6,20
2001,15,25.0,2,3.33,43,71.67,2,11.76,1,5.88,1,5.88,17,60
2002,11,45.83,0,0.0,13,54.17,0,0.0,0,0.0,0,0.0,7,24
2003,22,38.6,2,3.51,33,57.89,2,10.53,0,0.0,1,5.26,19,57
2004,19,35.19,4,7.41,31,57.41,4,21.05,1,5.26,2,10.53,19,54
2005,40,25.81,6,3.87,109,70.32,6,14.63,3,7.32,1,2.44,41,155
2006,53,45.3,20,17.09,44,37.61,16,40.0,8,20.0,8,20.0,40,117
2007,132,47.83,33,11.96,111,40.22,24,28.24,9,10.59,11,12.94,85,276
2008,228,61.46,82,22.1,61,16.44,52,44.83,25,21.55,25,21.55,116,371
2009,270,64.59,70,16.75,78,18.66,52,39.1,31,23.31,14,10.53,133,418
2010,597,68.86,160,18.45,110,12.69,120,41.81,54,18.82,52,18.12,287,867
2011,1032,67.89,282,18.55,206,13.55,211,43.24,94,19.26,80,16.39,488,1520
2012,884,68.0,218,16.77,198,15.23,161,38.42,64,15.27,51,12.17,419,1300
2013,1001,69.03,305,21.03,144,9.93,216,45.67,112,23.68,95,20.08,473,1450
2014,1147,70.28,340,20.83,145,8.88,233,46.14,111,21.98,86,17.03,505,1632
2015,955,67.4,329,23.22,133,9.39,226,50.33,110,24.5,98,21.83,449,1417
2016,988,67.03,320,21.71,166,11.26,215,45.94,108,23.08,92,19.66,468,1474
2017,941,64.9,319,22.0,190,13.1,216,48.0,117,26.0,86,19.11,450,1450
2018,1035,64.41,391,24.33,181,11.26,251,52.18,142,29.52,92,19.13,481,1607
2019,946,60.06,426,27.05,203,12.89,267,55.39,146,30.29,126,26.14,482,1575
2020,787,65.64,295,24.6,117,9.76,195,58.04,82,24.4,89,26.49,336,1199
2021,724,62.25,323,27.77,116,9.97,202,59.59,118,34.81,82,24.19,339,1163
2022,811,61.72,364,27.7,139,10.58,230,61.01,113,29.97,93,24.67,377,1314
2023,899,62.21,427,29.55,119,8.24,232,61.05,124,32.63,93,24.47,380,1445
2024,731,62.0,341,28.92,107,9.08,216,63.72,110,32.45,97,28.61,339,1179
TOTAL,14330,64.13,5065,22.67,2950,13.2,3354,49.16,1687,24.73,1377,20.18,6822,22345
