Title,Year,Male Authors,Female Authors,Unknown Gender Authors,First Author Female,Last Author Female,Total Authors
Privacy-Preserving Cross-Organization Process Mining Based on Blockchain and Cryptography,2024,3,1,1,False,True,5
BPMN++: Comprehensive Business Process Modeling for Industrial Internet Application,2022,5,0,1,False,False,6
Blockchain Technology for Enhanced Business Management,2023,3,1,2,False,False,6
Business Process Control-Flow Complexity Prediction Using Machine Learning-based Tool,2024,3,0,0,False,False,3
Brain-Computer Interface Using Brain Power Map and Cognition Detection Network During Flight,2022,4,0,2,False,False,6
"A Fully Analog Autonomous QRS Complex Detection and Low-Complexity Asystole, Extreme Bradycardia, and Tachycardia Classification System",2022,5,0,0,False,False,5
MRNet - A Deep Learning Based Multitasking Model for Respiration Rate Estimation in Practical Settings,2022,3,0,1,False,False,4
ROH-BOT: An IoT Wearable and Inclusive Health Device for Remote Patient Monitoring With Different Alarm Systems,2022,2,2,0,True,False,4
Experience in Specializing a Generic Realization Language for SPL Engineering at Airbus,2023,6,0,0,False,False,6
"Simulation-Based Predictive Process Mining with eBPMN: Methods, Challenges and Opportunities",2024,1,1,0,False,True,2
Using Formative Assessment and Feedback to Train Novice Modelers in Business Process Modeling,2023,2,2,0,True,True,4
Business Process Model Diagram Similarity Measurement Using Pairwise Comparison,2024,1,1,1,True,False,3
Design of Wearable Device as a Fatigue Detector in Sports Activities Based on the Internet of Things,2024,3,0,1,False,False,4
A Data Mining Approach for Analysis of Telco Customer Churn,2023,5,1,0,False,False,6
Survey of Explainability within Process Mining: A case study of BPI challenge 2020,2023,1,1,1,False,True,3
Process Mining and Deep Neural Network approach for the Prediction of Business Process Outcome,2022,0,0,2,False,False,2
Business process Execution: a contextual approach,2022,3,0,0,False,False,3
Impact of Critical Success Factors in Oracle EBS Enterprise Resource Planning Post Go Live Implementation:A Case Study on SriLankan Airlines,2022,1,1,0,False,True,2
Transactional Business Process Redesign of Procurement Planning System using Heuristic Method,2024,0,3,0,True,True,3
Design and Application of Big Data Technology Management for the Analysis System of High Speed Railway Operation Safety Rules,2023,0,2,0,True,True,2
Business Process Representation Analysis in the RPA Context,2023,1,2,1,True,False,4
Robotic Advancements in Business Process Automation using Artificial Intelligence: An Investigative Study,2022,2,1,1,True,False,4
Blockchain Based Cloud Storage of Patients Health Records,2022,0,1,0,True,True,1
"An Interdisciplinary Model-Driven Approach for Flipped Learning Design and Enactment Integrating Gamification, Agile, BPMN, IoT, and AI",2024,2,1,0,False,False,3
Management Decision of Using Building Information Modeling in Recent Residential Construction Projects in Bahrain,2024,3,1,0,True,False,4
Application of process mining approach to the developmental process of the roundworm C. elegans,2022,4,1,0,False,True,5
Automatic Analysis of Inconsistencies in Inter-Enterprise Business Processes: Introducing a Formal Adaptation Patterns Catalog,2023,0,2,0,True,True,2
"A Role of RMAS, Blockchain, and Zero-Knowledge Proof in Sustainable Supply Chains",2024,3,0,0,False,False,3
Dynamic Implementation of Security Requirements in Business Processes,2022,1,0,1,False,False,2
LCDD: Detecting Business Process Drifts Based on Local Completeness,2022,2,3,0,True,False,5
An Interactive Approach to Support Event Log Generation for Data Pipeline Discovery,2022,3,1,0,False,False,4
Addressing the Log Representativeness Problem using Species Discovery,2023,3,0,0,False,False,3
Toward a Game-like Experience: Design of a Modern User Interface of a Simulation Game for Teaching Business Process Digitalization,2022,6,0,0,False,False,6
Business Process Complexity Measurement: A Systematic Literature Review,2023,2,0,2,False,False,4
BPMN4CARS: A Car-Tailored Workflow Engine,2023,4,2,1,True,False,7
Visual Drift Detection for Event Sequence Data of Business Processes,2022,3,0,1,False,False,4
Efficient Transition Adjacency Relation Computation for Process Model Similarity,2022,2,1,1,False,False,4
Artificial Intelligence and Digital Transformation: Analyzing Future Trends,2022,3,3,0,True,False,6
Next Activity Prediction: An Application of Shallow Learning Techniques Against Deep Learning Over the BPI Challenge 2020,2023,3,0,0,False,False,3
Improving Business Process Resilience to Long-tailed Business Events via Low-code,2022,3,0,1,False,False,4
Generalizing STNU to Model Non-functional Constraints for Business Processes,2022,3,0,0,False,False,3
Information Retrieval from Facebook for Social Network Analysis,2023,1,1,0,False,True,2
To Enhance Municipal Revenue Department Processes Using Process Mining Techniques (A Case Study: Hamedan Province),2024,2,0,0,False,False,2
Enabling Reliable Collaboration in Legacy Business Process Systems,2024,2,0,0,False,False,2
Integration of cross-organizational business processes with blockchain: identifying key activities for on-chain execution based on behavioral profiles,2024,0,2,0,True,True,2
Pathomorphological Diagnosis Process Modeling for Machine Learning Algorithms’ Applying,2024,4,1,0,True,False,5
Enhancing Procurement Performance in Project-Oriented Organizations: A Process Analysis Approach,2024,2,1,0,False,True,3
Comparative Analysis of Patient Care Processes with Process Mining and Graph Edit Distance in Patient Data on the Indonesia National Health Insurance,2023,2,1,0,False,False,3
Automated Event Log Analysis With Causal Dependency Graphs for Impact Assessment of Business Processes,2024,2,1,0,True,False,3
Applying Process Mining to Generate Business Process Models from Smart Environments,2024,2,1,0,True,False,3
Business process modeling language selection for research modelers,2024,2,0,1,False,False,3
Towards a Continuous Temporal Improvement Approach for Real-Time Business Processes,2024,2,1,0,True,False,3
Navigating Business Model Redesign: The Compass Method for Identifying Changes to the Operating Model,2024,1,2,2,True,False,5
Hidden Markov model: Method for building a business process model,2024,1,0,0,False,False,1
Intelligent Low-Code Platform As a Rule Construction Environment: Practices for Resolving Differences in Understanding,2024,1,0,0,False,False,1
Construction of sustainable development professional cluster in private universities based on data mining model,2024,0,1,0,True,True,1
Enabling Configurable Workflows in Smart Environments with Knowledge-based Process Fragment Reuse,2024,2,0,0,False,False,2
Knowledge management through the lens of business process management: a bibliometric analysis,2024,2,3,0,True,True,5
Analyzing Healthcare Processes with Incremental Process Discovery: Practical Insights from a Real-World Application,2024,3,1,0,False,False,4
AI based smart business management and control analysis based decision making by machine learning model,2024,1,1,0,False,True,2
Analytics-based service perspective on customer value and business process management: evidence from transportation service,2024,0,1,0,True,True,1
BPaaS placement over optimum cloud availability zones,2024,2,1,0,True,False,3
An ambient assisted living architecture for hospital at home coupled with a process-oriented perspective,2024,5,3,0,False,True,8
Building the Processes Behind the Product: How Digital Ventures Create Business Processes That Support Their Growth,2024,4,0,0,False,False,4
PREDICTIVE PROCESS MONITORING FOR REMAINING TIME PREDICTION WITH TRANSFER LEARNING,2024,4,2,0,False,True,6
Workplace performance measurement: digitalization of work observation and analysis,2024,3,0,0,False,False,3
Information Technology for the Data Integration in Intelligent Systems of Business Analytics,2024,4,2,0,True,True,6
The Influence of Business Process Management System Implementation on an Organization’s Process Orientation: A Case Study of a Financial Service Provider,2024,2,0,2,False,False,4
"A Survey on Educational Processes Based on Agile, BPM, and PM",2024,0,1,1,False,True,2
Supporting business process variability through declarative process families,2024,0,0,2,False,False,2
Not yet another BPM lifecycle: A synthesis of existing approaches using BPMN,2024,3,0,0,False,False,3
Navigating the Landscape of Organizational Process Mining Setups: A Taxonomy Approach,2024,3,2,0,True,False,5
Managing next generation BP-x initiatives: Managing next generation BP-x initiatives: M. Schaschek et al.,2024,5,1,0,True,False,6
Transformer models for mining intents and predicting activities from emails in knowledge-intensive processes,2024,6,1,0,True,False,7
Optimization of Business Processes Through BPM Methodology: A Case Study on Data Analysis and Performance Improvement,2024,2,1,0,False,True,3
Speeding up Explorative BPM with Lightweight IT: the Case of Machine Learning,2024,3,0,0,False,False,3
Blockchain-Enabled Pension System Innovations: A Hungarian Case Study on Business Process Management Integration,2024,3,0,0,False,False,3
Improving Vulnerability Management Through Process Mining,2024,2,1,0,True,False,3
Process mining-based business process management architecture: A case study in smart factories,2024,2,1,0,False,False,3
A Grammatical Approach for Administrative Workflow Design and their Distributed Execution Using Structured and Cooperatively Edited Mobile Artifacts,2024,2,1,0,False,False,3
Blockchain-based collaborative business process data sharing and access control,2024,1,1,1,True,False,3
Algorithmic Business Process Optimization: Empowering Operational Excellence with Service-Oriented Architecture (SOA) and Microservices,2024,0,3,0,True,True,3
A Multidimensional Financial Data Model for User Interface with Process Mining Systems,2024,4,2,0,False,False,6
P-R-Dash: A Dashboard-Constructing Tool for Twinning Business Processes,2024,0,0,1,False,False,1
Next activity prediction of ongoing business processes based on deep learning,2024,1,2,1,True,False,4
Data-Driven Identification and Analysis of Waiting Times in Business Processes: A Systematic Literature Review,2024,3,0,0,False,False,3
Bot log mining: An approach to the integrated analysis of Robotic Process Automation and process mining,2024,6,0,0,False,False,6
Location-aware business process modeling and execution,2024,2,0,0,False,False,2
From zero to hero: ramp-up management as a new cross-cutting business process management capability,2024,3,0,0,False,False,3
Business process patterns for improving social sustainability,2024,2,0,0,False,False,2
The Future of Business Process Management: Robotic Process Automation; [Masa Hadapan Pengurusan Proses Bisnes: Automasi Proses Robotik],2024,2,1,1,False,True,4
Idea generation in exploitative and explorative business process redesign techniques,2024,2,1,1,False,True,4
Defining Integrated Agriculture Information System Non-Functional Requirement and Re-engineering the Metadata,2024,3,1,0,False,True,4
On the application of process management and process mining to Industry 4.0,2024,3,2,0,True,False,5
A closer look at activity relationships to improve business process redesign,2024,1,2,0,True,False,3
ALIGNMENT-BASED CONFORMANCE CHECKING OF HIERARCHICAL PROCESS MODELS,2024,3,1,1,True,False,5
Simulation and Optimisation of Business Process Management: Case Study of IT Company,2024,2,3,0,True,True,5
Reading between the Lines: Process Mining on OPC UA Network Data,2024,4,0,0,False,False,4
Intelligent automation computational modelling for contextual consulting services using Industry 4.0,2024,3,0,0,False,False,3
Design-time business process compliance assessment based on multi-granularity semantic information,2024,1,2,1,True,False,4
