Title,Year,Male Authors,Female Authors,Unknown Gender Authors,First Author Female,Last Author Female,Total Authors
Blockchain-as-a-Service for Business Process Management: Survey and Challenges,2023,3,1,0,False,False,4
Digital Transformation of Islamic Banks using Business Process Management,2023,1,1,0,True,False,2
Integration of Internet of Things in BPM Lifecycle: Concepts and Comparison of Approaches,2022,0,2,0,True,True,2
Smart-IoT Business Process Management: A Case Study on Remote Digital Early Cardiac Arrhythmia Detection and Diagnosis,2023,2,2,0,True,False,4
Multi-Aspect Anomaly Detection with Graph Neural Networks and Kolmogorov-Arnold Networks in Business Process Management,2024,5,0,0,False,False,5
Business Process Management Anomaly Detection Through Semantic Embedding-Integrated Graph Neural Networks,2024,5,0,0,False,False,5
Application of Business Process Management in the Libyan International Medical University: History and Development,2023,1,3,0,True,False,4
A Smart Contract Architecture Framework for Insurance Industry Using Blockchain and Business Process Management Technology,2024,4,0,0,False,False,4
A Review on Business Process Management System Design: The Role of Virtualization and Work Design,2023,3,0,0,False,False,3
Production Planning Business Process Automation Using BPM Tools,2024,1,4,0,True,True,5
Identifying Use Cases for Large Language Models in the Business Process Management Lifecycle,2024,3,1,0,False,False,4
IOT Computation Integration into Business Process Management,2022,3,2,0,False,False,5
Business Process Management and Service-Oriented Architecture Implementation for Root Cause Identification on Monitoring Tools at XYZ Company,2022,3,0,0,False,False,3
ProcessGPT: Transforming Business Process Management with Generative Artificial Intelligence,2023,7,0,2,False,False,9
Management Model under the BPM Approach and DT Tools to Increase the Level of Sales in a Peruvian Nanostore,2022,2,1,0,False,False,3
Towards Understanding the Hindering Factors of Business Process Management Adoption in State-Owned Enterprises: A Scoping Review,2024,0,1,1,False,True,2
Business Process Redesign of Sales Monitoring Business Process Management to be a Smart Logistic Shipment Company,2023,3,0,0,False,False,3
Exploring the Impact of Workflow Engines on Business Process Management in Enterprise Applications. A case-study: Camunda,2023,0,2,2,False,True,4
AI Resume Parser: Augmented Business Process Management Systems (ABPMS),2024,1,1,2,False,False,4
A Dynamic Binding Method for Situation-aware IoT Services Targeting Proactive BPM,2023,2,2,0,True,False,4
Antecedents in Business Process Maturity,2022,2,1,0,True,False,3
"Business management model to reduce the sales cycle in software development SMBs using BPM, CRM, and SCRUM",2022,3,1,0,True,False,4
Analyzing Affordance of Business Process Management Techniques in Enterprise Resource Planning Implementation,2024,0,0,2,False,False,2
Technology for Multiplication and Analysis of Results Using Classes of Digital Twins in the Process of Designing Business Process Management Systems,2022,2,0,1,False,False,3
Business Process Automation in SMEs: A Systematic Literature Review,2024,2,1,0,True,False,3
Semantic Framework to automatically generate process aware IoT,2024,2,0,1,False,False,3
"Modeling, Executing and Monitoring IoT-Aware Processes with BPM Technology",2022,3,0,0,False,False,3
Augmenting Business Process Model Elements With End-User Feedback,2022,1,1,0,True,False,2
Business Process Reengineering and an Omnichannel e-Commerce System Implementation for the Online Stores of a Pet Supply Company in Indonesia,2023,2,0,0,False,False,2
"Inventory management model based on Demand Forecasting, 5S, BPM and Max-Min to improve turnover in commercial enterprises",2022,2,2,0,True,False,4
Towards an Agile Approach for Business Process Reengineering,2022,4,1,0,False,False,5
Production management model based on Lean Manufacturing and BPM tools to increase profitability in SMEs in the Plastic Sector,2022,2,1,0,False,False,3
BPM for mutual aid management in industrial emergency response,2023,4,3,0,True,True,7
A Critical Investigation of Rationalities in Automation with BPM,2024,2,2,0,False,True,4
Business Process Models in Small and Medium Manufacturing Industries: An Overview,2024,2,1,0,False,False,3
Business process modeling extension and scheduling strategy compatible with big data business,2023,2,0,0,False,False,2
Approaching Quality 4.0: The Digital Process Management as a Competitive Advantage,2023,2,0,3,False,False,5
Toward Semantic Framework for Internet of Things-Aware Business Process Discovery,2023,0,2,0,True,True,2
Business Process Improvement in the Program Development Division of PT. XYZ Based on Service-Oriented Architecture,2023,3,0,0,False,False,3
Communication Semantics for IoT-Aware Business Process Management Systems,2024,1,0,0,False,False,1
BioTrak: A Blockchain-based Platform for Food Chain Logistics Traceability,2023,5,3,0,True,True,8
A Mashup-Based Framework for Business Process Compliance Checking,2022,2,1,0,True,False,3
Comparative Study on Various Low Code Business Process Management Platforms,2022,0,0,4,False,False,4
Edge Information Assisted Decoder for Business Process Anomaly Detection,2024,3,0,0,False,False,3
Artificial Intelligence of Digital Production Management,2024,2,0,0,False,False,2
Improving Production Management and Control with Intelligent Chatbot Services,2024,4,1,0,False,False,5
Challenges of integrating risk management throughout the BPM lifecycle,2022,1,1,0,True,False,2
Decision as a Service for Transaction Banking Using Service-Oriented Modeling Architecture Methodology,2023,2,0,1,False,False,3
The Performance Impact of Human Resources Recruitment System for Business Process Management Using K-Means and SVM,2023,5,1,0,False,False,6
Adopting Appropriate Business Process Management to Achieve Better Performance in Cosmetics Industry after Post Pandemic Era,2022,0,0,3,False,False,3
Business Sub-Process Analysis and Redesign of Counceling Week (Pekan Konseling) at Career Center Services using Business Process Improvement (BPI),2023,2,0,0,False,False,2
Development of a Business Process Modelling Framework for Continuous Improvements in Organisations,2022,0,0,3,False,False,3
"Blockchain-Based Service-Oriented Architecture for Consent Management, Access Control, and Auditing",2023,5,1,0,True,False,6
Natural Language Interface for Process Mining Queries in Healthcare,2022,3,3,1,False,False,7
Service-Based Event Penetration from IoT Sensors to Businesses: a Case Study,2022,3,2,1,True,False,6
Case Study of Designing Interface of the AGH Students Information Bulletin Work Support System,2022,4,1,0,True,False,5
"Triad of Digital Transformation: Holistic Orchestration for People, Process, and Technology",2024,2,3,0,False,True,5
Towards Uninterruptible Smart Home Processes,2022,1,0,0,False,False,1
Improving Purchase to Pay Process Efficiency with RPA using Fuzzy Miner Algorithm in Process Mining,2022,2,1,0,False,True,3
End-to-End Robotics Processing Management,2023,1,2,0,True,False,3
Dynamic Service Orchestration Scheme Based on JBPM,2023,1,2,1,True,True,4
Digitalization and Business Automation for an Effective Supply Chain Integration: A literature review,2024,1,0,1,False,False,2
ARivaT: A Tool for Automated Generation of Riva-Based Business Process Architecture Diagrams,2023,3,1,0,False,False,4
Cross-course Process Mining of Student Clickstream Data - Aggregation and Group Comparison,2024,2,0,0,False,False,2
An Intelligent Resource Scheduling Method with Edge Channel Deployment for BPM,2022,4,0,3,False,False,7
Warehouse management model integrating BPM-Lean Warehousing to increase order fulfillment in SME distribution companies,2022,2,2,0,False,True,4
IoTDM4BPMN: An IoT-Enhanced Decision Making Framework for BPMN 2.0,2022,3,0,0,False,False,3
The Comparison of Neural Networks for Contactless BPM Estimation,2024,1,2,0,True,True,3
Firmware and software design of data acquisition in digital BPM processor for SHINE,2022,4,2,2,False,True,8
Applications of Blockchain in Business Processes: A Comprehensive Review,2022,4,1,0,False,False,5
AIML: The Approach of Optimization to Support the Company Organizing the Automated Business Technique,2023,0,0,4,False,False,4
Semi-Supervised Detection of Contaminated Business Process Instances Using Graph Autoencoders and Dynamic Edge Convolutions for BPM Anomaly Detection,2024,4,0,0,False,False,4
The Landscape of Rigorous and Agile Software Development Life Cycles (SDLCs) for BPMS: A Systematic Selective Literature Review,2024,3,2,0,False,True,5
An Approach for Software Development Effort Estimation Using ChatGPT,2023,3,1,0,True,False,4
A Systematic Literature Review of the Analysis of Costs and Other Dimensions in Process Mining and Related Disciplines,2024,3,0,0,False,False,3
Application of Artificial Intelligence in Heuristic Models for Process Improvement,2023,2,0,0,False,False,2
"Experimental and Modeled Output Characteristics of a Compact, Passively Q-Switched Tm:YLF Laser",2023,6,0,0,False,False,6
Understanding Agile Innovation Management Adoption for SMEs,2022,3,0,2,False,False,5
Service Workflow: State-of-the-Art and Future Trends,2023,3,2,1,False,False,6
GRASPED: A GRU-AE Network Based Multi-Perspective Business Process Anomaly Detection Model,2023,3,0,1,False,False,4
Business Workflow Optimization Through Process Model Redesign,2022,1,0,1,False,False,2
Experimental Verification on Human-Centric Network-Based Resource Allocation Approaches for Process-Aware Information Systems,2022,0,0,4,False,False,4
Application of the Overall Equipment Effectiveness to a Service Company,2022,2,0,0,False,False,2
Business Process Automation in Retail,2022,2,2,0,True,True,4
Measuring Business Process Behavioral Similarity Based on Token Log Profile,2022,3,2,1,True,False,6
When to Invoke a Prediction Service for Business Process Monitoring?,2023,3,0,1,False,False,4
Sustainability Assessment of Remanufacturing Waste Sheet Steel Into Angle Mesh Steel,2022,1,0,0,False,False,1
Restaurant Enterprise Resource Planning System,2022,1,2,0,False,True,3
A model for optimizing the identification of process variants in Robotic Process Automation,2023,0,2,0,True,True,2
MDD: Process Drift Detection in Event Logs Integrating Multiple Perspectives,2024,1,4,0,True,False,5
Handling Process Variants in Information Systems with Software Product Line Engineering,2023,2,0,0,False,False,2
Combining Process Mining and Process Simulation in Healthcare: A Literature Review,2024,3,1,0,True,False,4
PQ-Diff: A Business Process Difference Detection and Interpretation Method based on the Common Key Structure,2022,2,1,1,False,False,4
"Toward Code Generation for Process-oriented, Role-based Dashboards : An Example of Digital Advertising in Vietnam",2022,0,1,1,True,False,2
COMB: Interconnected Transformers-Based Autoencoder for Multi-Perspective Business Process Anomaly Detection,2024,3,0,2,False,False,5
Digital Twin for Automated Industrial Optimization: Intelligent Machine Selection via Process Modelling,2023,4,0,0,False,False,4
Systematic Mapping Review on Log Preparation for Process Mining,2023,4,1,0,False,False,5
Business Process Modeling and Structure Optimization of Resource Coupling in Edge Computing,2022,1,0,5,False,False,6
Determining Business Process Improvement Priorities at Surabaya City Office for Population Administration & Civil Registration,2022,1,2,1,True,False,4
Automated BPMN Diagram Generation,2024,1,4,1,True,False,6
Multimodal Process Mining,2024,3,0,0,False,False,3
AI Assisted Customer Review Sentiment Analysis and Department Classification Tool,2024,1,2,0,True,True,3
Estimating Remaining Time of Business Processes based on Traces Structural Analysis,2023,4,0,0,False,False,4
"Human Resource Allocation to the Credit Requirement Process, A Process Mining Approach",2022,2,1,0,False,True,3
Development of Intelligent Cradle for Infant Monitoring System,2022,3,1,0,False,False,4
Business Process Model for University Management based on ISO 21000:2018 standard,2022,1,2,0,False,True,3
Access control based on roles and groups: Case study Building a secure Smart Hospital using BPMS,2024,1,1,2,False,False,4
Design Thinking and Innovative Tool Use in Business Model,2024,3,1,0,True,False,4
Analyzing the Use of Blockchains for Challenges in Inter-organizational Business Processes,2023,1,0,0,False,False,1
Redesign of Data-based Lean Management-Oriented Business Processes in the Textile Industry,2024,4,1,0,True,False,5
Enhancing Heart Rate Monitoring Using Remote Photoplethysmography Based on Neural Network,2024,2,1,0,True,False,3
