Job construals – Conceptualizing and measuring process participants’ perception of process embeddedness,"Kettenbohrer, Janina",Janina,female,0.9999974412154872,True
Job construals – Conceptualizing and measuring process participants’ perception of process embeddedness,"Beimborn, Daniel",Daniel,male,0.9999484956264236,True
Job construals – Conceptualizing and measuring process participants’ perception of process embeddedness,"Siebert, Ina",Ina,female,0.9999955047625694,True
Towards a typology of business process management professionals: identifying patterns of competences through latent semantic analysis,"Müller, Oliver",Oliver,male,0.9999907881390401,True
Towards a typology of business process management professionals: identifying patterns of competences through latent semantic analysis,"Schmiedel, Theresa",Theresa,female,0.9999840684840471,True
Towards a typology of business process management professionals: identifying patterns of competences through latent semantic analysis,"Gorbacheva, Elena",Elena,female,0.9999927696536459,True
Towards a typology of business process management professionals: identifying patterns of competences through latent semantic analysis,"vom Brocke, Jan",Jan,unknown,0.5504849119650672,False
Towards dynamic business process management: Adapting processes via cloud-based adaptation processes,"Oberhauser, Roy",Roy,male,0.9999319550277614,True
Learning path specification for workplace learning based on business process management,"Subramanian, Venkatapathy",Venkatapathy,female,0.52525757969461,False
Learning path specification for workplace learning based on business process management,"Bertolino, Antonia",Antonia,female,0.9999709461144286,True
Elasticity of the business process execution. Application to Bonita BPM; [Élasticité de l'exécution des processus métiers Application à BonitaBPM],"Rosinosky, Guillaume",Guillaume,male,0.9995033457648226,True
Towards RAM-based variant generation of business process models,"Tealeb, Ahmed",Ahmed,male,0.9999977341795334,True
Towards RAM-based variant generation of business process models,"Awad, Ahmed",Ahmed,male,0.9999977341795334,True
Towards RAM-based variant generation of business process models,"Galal-Edeen, Galal",Galal,male,0.9924488666325432,True
Batch processing across multiple business processes based on object life cycles,"Pufahl, Luise",Luise,female,0.9998936197750643,True
Batch processing across multiple business processes based on object life cycles,"Weske, Mathias",Mathias,male,0.999948038650782,True
Towards ontology-based anti-patterns for the verification of business process behavior,"Roa, Jorge",Jorge,male,0.9999507614101812,True
Towards ontology-based anti-patterns for the verification of business process behavior,"Reynares, Emiliano",Emiliano,male,0.9995056193495935,True
Towards ontology-based anti-patterns for the verification of business process behavior,"Caliusco, María Laura",María,female,0.9998408731018508,True
Towards ontology-based anti-patterns for the verification of business process behavior,"Villarreal, Pablo",Pablo,male,0.9999522824750242,True
Towards a methodology for the engineering of event-driven process applications,"Baumgraß, Anne",Anne,female,0.9999910090887604,True
Towards a methodology for the engineering of event-driven process applications,"Botezatu, Mirela",Mirela,female,0.9999968855060476,True
Towards a methodology for the engineering of event-driven process applications,"Di Ciccio, Claudio",Claudio,male,0.9999607633184376,True
Towards a methodology for the engineering of event-driven process applications,"Dijkman, Remco",Remco,male,0.999418503534345,True
Towards a methodology for the engineering of event-driven process applications,"Grefen, Paul",Paul,male,0.999990342528266,True
Towards a methodology for the engineering of event-driven process applications,"Hewelt, Marcin",Marcin,male,0.999854736332431,True
Towards a methodology for the engineering of event-driven process applications,"Mendling, Jan",Jan,unknown,0.5504849119650672,False
Towards a methodology for the engineering of event-driven process applications,"Meyer, Andreas",Andreas,male,0.9999763395171621,True
Towards a methodology for the engineering of event-driven process applications,"Pourmirza, Shaya",Shaya,unknown,0.5256590966265645,False
