Year,Male Authors,Percentage Male Authors,Female Authors,Percentage Female Authors,Unknown Gender Authors,Percentage Unknown Gender Authors,Articles with at least one woman,Percentage Articles with at least one woman,Articles with female first author,Percentage Articles with female first author,Articles with female last author,Percentage Articles with female last author,Total Articles,Total Authors
1979,0,0.0,0,0.0,5,100.0,0,0.0,0,0.0,0,0.0,1,5
1992,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1
1993,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,1,2
1994,0,0.0,0,0.0,4,100.0,0,0.0,0,0.0,0,0.0,2,4
1995,3,27.27,0,0.0,8,72.73,0,0.0,0,0.0,0,0.0,4,11
1996,0,0.0,0,0.0,6,100.0,0,0.0,0,0.0,0,0.0,3,6
1997,5,29.41,3,17.65,9,52.94,3,42.86,2,28.57,1,14.29,7,17
1998,6,26.09,1,4.35,16,69.57,1,16.67,1,16.67,0,0.0,6,23
1999,6,54.55,0,0.0,5,45.45,0,0.0,0,0.0,0,0.0,4,11
2000,6,50.0,0,0.0,6,50.0,0,0.0,0,0.0,0,0.0,4,12
2001,7,38.89,2,11.11,9,50.0,2,28.57,1,14.29,1,14.29,7,18
2002,7,53.85,0,0.0,6,46.15,0,0.0,0,0.0,0,0.0,5,13
2003,11,40.74,2,7.41,14,51.85,2,20.0,0,0.0,1,10.0,10,27
2004,18,36.73,4,8.16,27,55.1,4,22.22,1,5.56,2,11.11,18,49
2005,28,35.0,4,5.0,48,60.0,4,18.18,2,9.09,0,0.0,22,80
2006,50,51.55,20,20.62,27,27.84,16,45.71,8,22.86,8,22.86,35,97
2007,94,60.65,24,15.48,37,23.87,17,29.31,9,15.52,8,13.79,58,155
2008,204,62.58,74,22.7,48,14.72,48,46.15,23,22.12,22,21.15,104,326
2009,235,64.03,62,16.89,70,19.07,47,39.83,27,22.88,12,10.17,118,367
2010,448,68.71,129,19.79,75,11.5,96,43.05,45,20.18,43,19.28,223,652
2011,789,67.73,228,19.57,148,12.7,166,43.12,73,18.96,65,16.88,385,1165
2012,674,68.85,179,18.28,126,12.87,131,40.43,55,16.98,45,13.89,324,979
2013,814,69.57,247,21.11,109,9.32,175,45.57,90,23.44,80,20.83,384,1170
2014,808,70.2,246,21.37,97,8.43,168,45.28,85,22.91,64,17.25,371,1151
2015,725,67.95,253,23.71,89,8.34,174,50.58,87,25.29,74,21.51,344,1067
2016,780,69.15,244,21.63,104,9.22,165,45.58,82,22.65,73,20.17,362,1128
2017,676,66.02,237,23.14,111,10.84,160,49.23,86,26.46,66,20.31,325,1024
2018,819,65.16,297,23.63,141,11.22,193,51.74,110,29.49,70,18.77,373,1257
2019,703,60.5,318,27.37,141,12.13,200,54.79,109,29.86,96,26.3,365,1162
2020,586,64.97,240,26.61,76,8.43,157,60.15,66,25.29,78,29.89,261,902
2021,548,61.43,259,29.04,85,9.53,154,58.78,88,33.59,67,25.57,262,892
2022,625,62.69,279,27.98,93,9.33,177,59.6,88,29.63,72,24.24,297,997
2023,698,62.04,343,30.49,84,7.47,184,61.95,95,31.99,74,24.92,297,1125
2024,594,62.13,280,29.29,82,8.58,177,64.36,90,32.73,79,28.73,275,956
TOTAL,10969,65.09,3975,23.59,1907,11.32,2621,49.85,1323,25.16,1101,20.94,5258,16851
