Article Title,Author Name,First Name,Gender,Probability,Reliable
The Information System Strategic Planning for Corporate Business Using Business Process Management at CV Sadaf Computer,"Jeanette Egeten, Angelina Ervina",Angelina,female,0.9999985608863713,True
The Information System Strategic Planning for Corporate Business Using Business Process Management at CV Sadaf Computer,"Rani, Rahma",Rahma,female,0.9998064097098313,True
The Information System Strategic Planning for Corporate Business Using Business Process Management at CV Sadaf Computer,"Handoko, Olvy Lianara",Olvy,female,0.9945324641804937,True
The Information System Strategic Planning for Corporate Business Using Business Process Management at CV Sadaf Computer,"Meisah Simamora, Elisabeth",Elisabeth,female,0.9999863239219225,True
Know Your Customer (KYC) as a service for Business Process Management (BPM) using Cloud Computing,"Patil, Sandeep",Sandeep,male,0.9976197418104102,True
Know Your Customer (KYC) as a service for Business Process Management (BPM) using Cloud Computing,"Pitchai, R.",R.,unknown,0.55007582920075,False
Know Your Customer (KYC) as a service for Business Process Management (BPM) using Cloud Computing,"Madhubabu, Ch.",Ch.,male,0.976819485412467,True
Know Your Customer (KYC) as a service for Business Process Management (BPM) using Cloud Computing,Gunasekaran,Gunasekaran,male,0.9984340528359693,True
A Systematic Review of Business Process Management in E-Commerce,"Christy Nathaniela, Thalea",Thalea,female,0.9989913940523091,True
A Systematic Review of Business Process Management in E-Commerce,"Purnomo, Agung",Agung,male,0.9938229867218071,True
A Systematic Review of Business Process Management in E-Commerce,"Fadil Persada, Satria",Satria,male,0.9554897091054304,True
A Systematic Review of Business Process Management in E-Commerce,"Rosyidah, Elsa",Elsa,female,0.9999918665576765,True
MaD: A Dataset for Interview-based BPM in Business Process Management,"Li, Xiaoxuan",Xiaoxuan,female,0.8960961947243915,True
MaD: A Dataset for Interview-based BPM in Business Process Management,"Ni, Lin",Lin,female,0.9884401263971199,True
MaD: A Dataset for Interview-based BPM in Business Process Management,"Li, Renee",Renee,female,0.999945939178646,True
MaD: A Dataset for Interview-based BPM in Business Process Management,"Liu, Jiamou",Jiamou,unknown,0.698407809006617,False
MaD: A Dataset for Interview-based BPM in Business Process Management,"Zhang, Mengxiao",Mengxiao,female,0.8914214489604044,True
Exploring factors that affect Business Process Management (BPM) adoption in South African State-Owned Enterprises,"Salamntu, Lumka P.T.",Lumka,female,0.9897812695221367,True
Exploring factors that affect Business Process Management (BPM) adoption in South African State-Owned Enterprises,"Makoza, Frank",Frank,male,0.999947578866658,True
A Systematic Review of Business Process Management in E-Commerce,"Christy Nathaniela, Thalea",Thalea,female,0.9989913940523091,True
A Systematic Review of Business Process Management in E-Commerce,"Purnomo, Agung",Agung,male,0.9938229867218071,True
A Systematic Review of Business Process Management in E-Commerce,"Fadil Persada, Satria",Satria,male,0.9554897091054304,True
A Systematic Review of Business Process Management in E-Commerce,"Rosyidah, Elsa",Elsa,female,0.9999918665576765,True
A Systematic Review of Business Process Management in E-Commerce,"Christina Nathaniela, Thalea",Thalea,female,0.9989913940523091,True
A Systematic Review of Business Process Management in E-Commerce,"Purnomo, Agung",Agung,male,0.9938229867218071,True
A Systematic Review of Business Process Management in E-Commerce,"Fadil Persada, Satria",Satria,male,0.9554897091054304,True
A Systematic Review of Business Process Management in E-Commerce,"Rosyidah, Elsa",Elsa,female,0.9999918665576765,True
