Author Name,First Name,Gender,Probability,Reliable,Publication_Count,Article_1,Article_2,Article_3,Article_4,Article_5,Article_6,Article_7,Article_8,Article_9,Article_10,Article_11,Article_12,Article_13,Article_14,Article_15,Article_16,Article_17,Article_18,Article_19,Article_20,Article_21,Article_22,Article_23,Article_24,Article_25,Article_26,Article_27,Article_28,Article_29,Article_30,Article_31,Article_32,Article_33,Article_34,Article_35,Article_36,Article_37,Article_38,Article_39,Article_40,Article_41,Article_42,Article_43,Article_44,Article_45,Article_46,Article_47,Article_48,Article_49,Article_50,Article_51,Article_52,Article_53,Article_54,Article_55,Article_56,Article_57,Article_58,Article_59,Article_60,Article_61,Article_62,Article_63,Article_64,Article_65,Article_66,Article_67,Article_68,Article_69,Article_70,Article_71,Article_72,Article_73,Article_74,Article_75,Article_76,Article_77,Article_78,Article_79,End_Marker
"Debnath, N.",,unknown,0.0,False,1,Optimization of the Business Process metrics definition according to the BPDM standard and its formal definition in OCL,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Debnath, Narayan",Narayan,male,0.999772703532014,True,3,Workflow Models: Management and Quality of Process in the Cloud,A method for evaluating and measuring cloud computing business process,A strategy based on LSP for the evaluation of specific languages for business processes modeling,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Debois, Søren",Søren,male,0.9999430290061064,True,2,Blockchains for business process management - Challenges and opportunities,5th international workshop on declarative/decision/hybrid mining and modeling for business processes (DeHMIMoP’17),$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Decai, Kong",Kong,male,0.9938910164248088,True,1,A Project Management System for Product Development,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Decker, Gero",Gero,male,0.998028621317522,True,2,"How do machine learning, robotic process automation, and blockchains affect the human factor in business process management?",BPM in the cloud – trends and challenges (extended abstract),$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Decreus, Ken",Ken,male,0.999961489624478,True,4,Mapping semantically enriched Formal Tropos to business process models,Putting Business into Business Process Models,Practical Challenges for Methods Transforming i* Goal Models into Business Process Models,Research review: Investigating goal-oriented requirements engineering for business processes,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dedousis, Panagiotis",Panagiotis,male,0.9999221249138908,True,1,Towards an Automated Business Process Model Risk Assessment: A Process Mining Approach,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Defude, Bruno",Bruno,male,0.999965238947568,True,1,Process socio space discovery based on semantic logs,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Del Valle, C.",,unknown,0.0,False,1,Generating multi-objective optimized configurable business process models,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Del Valle, Carmelo",Carmelo,male,0.9997529037932492,True,3,Automatic generation of optimized business process models from constraint-based specifications,Generating multi-objective optimized business process enactment plans,A planning and scheduling perspective for designing business processes from declarative specifications,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
