Unlocking the potential of knowledge management in harnessing technological advancements for design and development,"Bordoloi, Dibyahash",Dibyahash,unknown,0.5240859090529885,False
Unlocking the potential of knowledge management in harnessing technological advancements for design and development,"Sanyal, Shouvik",Shouvik,male,0.9995391161980056,True
Unlocking the potential of knowledge management in harnessing technological advancements for design and development,"Nandal, Naveen",Naveen,male,0.9974383365018991,True
Conceptualizing Business Process Management Capabilities in Digitalization Contexts,"Eikebrokk, Tom R.",Tom,male,0.9999802916805114,True
Conceptualizing Business Process Management Capabilities in Digitalization Contexts,"Olsen, Dag H.",Dag,male,0.9997430154622119,True
Conceptualizing Business Process Management Capabilities in Digitalization Contexts,"Garmann-Johnsen, Niels F.",Niels,male,0.9995159698403479,True
Semi-supervised Detection of Contaminated Business Process Instances using Graph Autoencoders and Dynamic Edge Convolutions for BPM Anomaly Detection,"Ayaz, Teoman Berkay",Teoman,male,0.9999925027088638,True
Semi-supervised Detection of Contaminated Business Process Instances using Graph Autoencoders and Dynamic Edge Convolutions for BPM Anomaly Detection,"Gülce, Ege",Ege,male,0.9886753469643125,True
Semi-supervised Detection of Contaminated Business Process Instances using Graph Autoencoders and Dynamic Edge Convolutions for BPM Anomaly Detection,"Özcan, Alper",Alper,male,0.9999692134342155,True
Semi-supervised Detection of Contaminated Business Process Instances using Graph Autoencoders and Dynamic Edge Convolutions for BPM Anomaly Detection,"Akbulut, Akhan",Akhan,male,0.9945097118335663,True
COMB: Interconnected Transformers-Based Autoencoder for Multi-Perspective Business Process Anomaly Detection,"Guan, Wei",Wei,male,0.8353828445774668,True
COMB: Interconnected Transformers-Based Autoencoder for Multi-Perspective Business Process Anomaly Detection,"Cao, Jian",Jian,male,0.9975103869595472,True
COMB: Interconnected Transformers-Based Autoencoder for Multi-Perspective Business Process Anomaly Detection,"Yao, Yan",Yan,unknown,0.5336648310743305,False
COMB: Interconnected Transformers-Based Autoencoder for Multi-Perspective Business Process Anomaly Detection,"Gu, Yang",Yang,unknown,0.6608034619216988,False
COMB: Interconnected Transformers-Based Autoencoder for Multi-Perspective Business Process Anomaly Detection,"Qian, Shiyou",Shiyou,male,0.9931917903689345,True
Repairing Process Models Through Simulation and Explainable AI,"Vinci, Francesco",Francesco,male,0.9999449415190484,True
Repairing Process Models Through Simulation and Explainable AI,"de Leoni, Massimiliano",Massimiliano,male,0.9997809476578167,True
Building Organizational Process Mining Capability: Experiences at a Global Gaming Company,"Khurshid, Nazrina",Nazrina,female,0.9999297071527895,True
Building Organizational Process Mining Capability: Experiences at a Global Gaming Company,"Palmier, Stephen",Stephen,male,0.9999906814314838,True
Building Organizational Process Mining Capability: Experiences at a Global Gaming Company,"Buijs, Kerry",Kerry,female,0.8513517753833991,True
Building Organizational Process Mining Capability: Experiences at a Global Gaming Company,"Klinkmüller, Christopher",Christopher,male,0.9999877129093514,True
Scp-bp Framework: Situational Crime Prevention for Managing Data Breaches in Business Processes,"Miao, Cheng",Cheng,male,0.9844419389561052,True
Scp-bp Framework: Situational Crime Prevention for Managing Data Breaches in Business Processes,"Ho, Heemeng",Heemeng,unknown,0.5256706708725979,False
Scp-bp Framework: Situational Crime Prevention for Managing Data Breaches in Business Processes,"Tsen, Elinor",Elinor,female,0.9997339648796789,True
Scp-bp Framework: Situational Crime Prevention for Managing Data Breaches in Business Processes,"Gilmour, John",John,male,0.9999985032120171,True
Scp-bp Framework: Situational Crime Prevention for Managing Data Breaches in Business Processes,"Ko, Ryan K. L.",Ryan,male,0.9999724923267826,True
Edge Information Assisted Decoder for Business Process Anomaly Detection,"Ayaz, Teoman Berkay",Teoman,male,0.9999925027088638,True
Edge Information Assisted Decoder for Business Process Anomaly Detection,"Ozcan, Alper",Alper,male,0.9999692134342155,True
Edge Information Assisted Decoder for Business Process Anomaly Detection,"Akbulut, Akhan",Akhan,male,0.9945097118335663,True
Embracing Industry 4.0 paradigms for Digital Transformation at the Gran Telescopio Canarias,"Garcia, Luis Rodriguez",Luis,male,0.9999544636263329,True
Embracing Industry 4.0 paradigms for Digital Transformation at the Gran Telescopio Canarias,"Dominguez, Raul",Raul,male,0.9999766750764174,True
Embracing Industry 4.0 paradigms for Digital Transformation at the Gran Telescopio Canarias,"Brito, Henry",Henry,male,0.9996441999204112,True
