Article Title,Author Name,First Name,Gender,Probability,Reliable
"How, Who and When: Enhancing Business Process Warehouses By Graph Based Queries","Pulice, Chiara",Chiara,female,0.9999916680262992,True
Communication Semantics for IoT-aware Business Process Management Systems,"Babaei, Majid",Majid,male,0.9998567579880754,True
Correlation Between Social Media and Non-Technical Business Process Management in Small and Medium Enterprises,"Handayani, Sharfina Febbi",Sharfina,female,0.9984260517851483,True
Correlation Between Social Media and Non-Technical Business Process Management in Small and Medium Enterprises,"Annisa, Lolanda Hamim",Lolanda,female,0.9999957906888431,True
Correlation Between Social Media and Non-Technical Business Process Management in Small and Medium Enterprises,"Wardati, Nanda Kurnia",Nanda,female,0.9891051638098448,True
Correlation Between Social Media and Non-Technical Business Process Management in Small and Medium Enterprises,"Putri, Rachmah Agus",Rachmah,female,0.9817117852510675,True
An extended subject-oriented business process management execution semantics,"Wolski, André",André,male,0.9937406618136563,True
An extended subject-oriented business process management execution semantics,"Borgert, Stephan",Stephan,male,0.9999887311827451,True
An extended subject-oriented business process management execution semantics,"Heuser, Lutz",Lutz,male,0.9936954301368839,True
A CoreASM based reference implementation for subject-oriented business process management execution semantics,"Wolski, André",André,male,0.9937406618136563,True
A CoreASM based reference implementation for subject-oriented business process management execution semantics,"Borgert, Stephan",Stephan,male,0.9999887311827451,True
A CoreASM based reference implementation for subject-oriented business process management execution semantics,"Heuser, Lutz",Lutz,male,0.9936954301368839,True
Design and Realisation of Scalable Business Process Management Systems for Deployment in the Cloud,"Ouyang, Chun",Chun,male,0.9816394061538057,True
Design and Realisation of Scalable Business Process Management Systems for Deployment in the Cloud,"Adams, Michael",Michael,male,0.9999876221560686,True
Design and Realisation of Scalable Business Process Management Systems for Deployment in the Cloud,"Hofstede, Arthur H. M. Ter",Arthur,male,0.9999849927075136,True
Design and Realisation of Scalable Business Process Management Systems for Deployment in the Cloud,"Yu, Yang",Yang,unknown,0.6597763894589939,False
Business process management in small- and medium-sized enterprises: an empirical study,"Singer, Robert",Robert,male,0.9999776797436909,True
Dynamic update of business process management,"Nahabedian, Leandro",Leandro,male,0.9999459472101595,True
The Deployment of an Enhanced Model-Driven Architecture for Business Process Management,"McClatchey, Richard",Richard,male,0.9999944029565571,True
Major Issues in Business Process Management: Key Concerns presented in Academy from a Brazilian Perspective,"Confort, Valdemar T. F.",Valdemar,male,0.9999663435582248,True
Major Issues in Business Process Management: Key Concerns presented in Academy from a Brazilian Perspective,"Santoro, Flavia Maria",Flavia,female,0.9999608537378177,True
