A model-driven method for enacting the design-time QoS analysis of business processes,2014,1,1,0,False,True,2
GoalDAG – Archimate integration,2014,2,0,0,False,False,2
BPM analysis of all-optical fiber interferometric sensor based on a U-shape microcavity,2014,3,2,0,False,False,5
Testing the impact of wand and Weber's decomposition model on process model understandability,2014,2,1,0,False,False,3
Towards location-aware declarative business process management,2014,3,0,0,False,False,3
Value-driven design and implementation of business processes transferring strategy into execution at pace with certainty,2014,1,0,0,False,False,1
Extending swarm communication to unify choreography and long-lived processes,2014,1,2,0,True,False,3
A genetic algorithm for the inductive derivation of reference models using minimal graph-edit distance applied to real-world business process data,2014,3,0,0,False,False,3
Enterprise Architecture in University analyzing of implementation using business process management,2014,1,0,1,False,False,2
A Service Composition Environment Based on Enterprise Service Bus,2014,3,0,0,False,False,3
Conflict resolution for on-the-fly change propagation in business processes,2014,2,1,0,True,False,3
Cloud based Material management system for printing press,2014,1,2,1,False,True,4
Extracting business vocabularies from business process models: SBVR and BPMN standards-based approach,2014,4,0,0,False,False,4
DSL based platform for business process management,2014,1,3,0,True,False,4
PRIMA II - An analysis of resource availability in disaster response processes,2014,1,1,0,False,True,2
Proactive decision support during business process execution,2014,0,0,1,False,False,1
Leveraging model-driven monitoring for event-driven business process control,2014,2,1,0,False,False,3
Assessing aspect oriented approaches in business process management,2014,1,0,0,False,False,1
Diagnosing industrial business processes: Early experiences,2014,0,0,3,False,False,3
"Excellence models for performance management: Case study: The evolution of ""quality concept"" in Japan-The Japanese model of excellence",2014,1,2,0,True,False,3
Support of dynamic compliance processes through business process management platforms; [Unterstützung von dynamischen Compliance Prozessen durch Business Process Management Plattformen],2014,1,0,0,False,False,1
A data-driven prediction framework for analyzing and monitoring business process performances,2014,5,0,0,False,False,5
The analysis of behavioral deviation between business process models based on Petri net kinetic expression,2014,2,1,0,False,False,3
Regulatory framework for the deployment of business process management and document management in public administration; [Ordnungsrahmen zum Einsatz des Geschäftsprozessmanagements und des Dokumentenmanagements in der Öffentlichen Verwaltung],2014,1,0,0,False,False,1
Coordination of local process views in interorganizational business process,2014,2,0,0,False,False,2
Virtual business process management within collaborative manufacturing network: An implementation case,2014,2,0,0,False,False,2
Performance measurement using fuzzy system perspective and soft system methodology: New idea of business process management,2014,1,0,0,False,False,1
An integrated approach based on execution measures for the continuous improvement of business processes realized by services,2014,3,2,0,True,False,5
IMUNES: Design and implementation temperature and heartbeat sensors in measuring vital sign through watch,2014,0,0,3,False,False,3
Planning of business process execution in Business Process Management environments,2014,0,1,2,True,False,3
Advanced planning and control of manufacturing processes in steel industry through big data analytics: Case study and architecture proposal,2014,5,0,0,False,False,5
An interoperable and self-adaptive approach for SLA-based service virtualization in heterogeneous Cloud environments,2014,0,0,3,False,False,3
Factors affecting business process and business rule integration,2014,1,2,0,False,True,3
Proposals for the integration of interactive dashboards in business process monitoring to support resources allocation decisions,2014,0,1,0,True,True,1
Architecture-centric support for adaptive service collaborations,2014,3,0,0,False,False,3
Interpreting overlaps in business process mapping via organisational soft knowledge flows,2014,1,1,0,True,False,2
Supporting introduction of social interaction in business processes,2014,1,1,0,False,True,2
