"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"DSI3HIFC","conferencePaper","2023","Elkodssi, Iman; Sbai, Hanae","Toward Semantic Framework for Internet of Things-Aware Business Process Discovery","2023 International Conference on Digital Age & Technological Advances for Sustainable Development (ICDATA)","","","10.1109/ICDATA58816.2023.00012","","","2023","2025-03-12 00:43:04","2025-03-12 00:43:04","","12-16","","","","","","","","","","","","","","","","","","","","","","","","Business process management; Internet of Things; Semantics; Ontologies; Annotations; Business Process Management Notation (BPMN); Data models; IoT element; Ontology; Sustainable development; The IoT-aware BP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WDBKI6TC","conferencePaper","2023","Fajri, Hanif; Fakhrurroja, Hanif; Lubis, Muharman","Business Process Improvement in the Program Development Division of PT. XYZ Based on Service-Oriented Architecture","2023 International Conference on Computer, Control, Informatics and its Applications (IC3INA)","","","10.1109/IC3INA60834.2023.10285751","","","2023","2025-03-12 00:43:04","2025-03-12 00:43:04","","359-364","","","","","","","","","","","","","","","","","","","","","","","","Business Process Management; Computational modeling; Process control; Service-oriented architecture; Informatics; Business Process Existing; Business Process Improvement; Digital control; Finance; Infrastructure Technology SOA; Service Oriented Architecture; Time measurement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LH8EVHVD","conferencePaper","2024","Babaei, Majid","Communication Semantics for IoT-Aware Business Process Management Systems","2024 IEEE/ACM 6th International Workshop on Software Engineering Research & Practices for the IoT (SERP4IoT)","","","10.1145/3643794.3648273","","","2024","2025-03-12 00:43:04","2025-03-12 00:54:45","","30-37","","","","","","","","","","","","","","","","","","","","","","","","BPMN; communication; formal semantics; IoT; TLA+; Business process management; Process modeling; Internet of Things; Standards; Semantics; Communication; Complexity theory; Formal semantics; Safety","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E2VKWGEM","conferencePaper","2023","Spitalleri, Alessia; Kavasidis, Isaak; Cartelli, Vincenzo; Mineo, Raffaele; Rundo, Francesco; Palazzo, Simone; Spampinato, Concetto; Giordano, Daniela","BioTrak: A Blockchain-based Platform for Food Chain Logistics Traceability","2023 International Conference on Intelligent Computing, Communication, Networking and Services (ICCNS)","","","10.1109/ICCNS58795.2023.10193341","","","2023","2025-03-12 00:43:04","2025-03-12 00:43:04","","105-110","","","","","","","","","","","","","","","","","","","","","","","","Business process management; Business Process Management; Blockchain; Blockchains; Transportation; Complexity theory; Food supply chain monitoring; Raw materials; Supply chains; Temperature","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MGIQZQBC","journalArticle","2022","Cabanillas, Cristina; Resinas, Manuel; Ruiz-Cortés, Antonio","A Mashup-Based Framework for Business Process Compliance Checking","IEEE Transactions on Services Computing","","","10.1109/TSC.2020.3001292","","","2022","2025-03-12 00:43:04","2025-03-12 00:54:45","","1564-1577","","3","15","","","","","","","","","","","","","","","","","","","","","Business process management; business process management; Companies; Proposals; Process control; Regulation; Business process compliance; compliance checking; compliance framework; mashups; Mashups","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TGUPTMPG","conferencePaper","2022","Krishnaraj, N.; Vidhya, R.; Shankar, R.; Shruthi, N.","Comparative Study on Various Low Code Business Process Management Platforms","2022 International Conference on Inventive Computation Technologies (ICICT)","","","10.1109/ICICT54344.2022.9850581","","","2022","2025-03-12 00:43:04","2025-03-12 00:43:04","","591-596","","","","","","","","","","","","","","","","","","","","","","","","Task analysis; Databases; Codes; Encoding; Mobile applications; Maintenance engineering; Appian; Caspio; Low code development platforms; Programming; SalesForce lightning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RH52GQAB","conferencePaper","2024","Ayaz, Teoman Berkay; Özcan, Alper; Akbulut, Akhan","Edge Information Assisted Decoder for Business Process Anomaly Detection","2024 8th International Artificial Intelligence and Data Processing Symposium (IDAP)","","","10.1109/IDAP64064.2024.10711098","","","2024","2025-03-12 00:43:04","2025-03-12 00:43:04","","1-5","","","","","","","","","","","","","","","","","","","","","","","","Business process management; Business Process Management; Business; Computer architecture; Anomaly detection; Anomaly Detection; Decoding; Graph Neural Networks; Image edge detection; Standards; Auto Encoders; Convolution; Data processing; Edge Attributes; Indexes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GIKM59TA","conferencePaper","2024","Azarov, Vladimir N.; Chekmarev, Anatoliy V.","Artificial Intelligence of Digital Production Management","2024 International Conference ""Quality Management, Transport and Information Security, Information Technologies"" (QM&TIS&IT)","","","10.1109/QMTISIT63393.2024.10762942","","","2024","2025-03-12 00:43:04","2025-03-12 00:43:04","","14-16","","","","","","","","","","","","","","","","","","","","","","","","business process management; automation; Process control; Manufacturing; Optimization; Training; Artificial intelligence; Security; Supply chains; artificial intelligence (AI); data analysis; decision making; demand forecasting; digital manufacturing; efficiency; ethics; flexibility; logistics; maintenance; Manufacturing processes; privacy; process optimization; production planning; quality; Quality control; responsiveness; security; Supply chain management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VNL7UWZG","conferencePaper","2024","Mashkouk, Rami; Novitsky, Vladimir; Korzanova, Anna; Kornev, Daniel; Myshenkov, Konstantin","Improving Production Management and Control with Intelligent Chatbot Services","2024 6th International Youth Conference on Radio Electronics, Electrical and Power Engineering (REEPE)","","","10.1109/REEPE60449.2024.10479952","","","2024","2025-03-12 00:43:04","2025-03-12 00:43:04","","1-5","","","","","","","","","","","","","","","","","","","","","","","","business process management; Productivity; User experience; Raw materials; Quality control; chatbot; Chatbots; intelligent chatbot services; Oral communication; production management; Production management; property extraction; user knowledge graph","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6C9GQJXB","conferencePaper","2022","Romero, Elisa Del Carmen Navarro; Mayorga, Hugo Santiado Aguirre","Challenges of integrating risk management throughout the BPM lifecycle","2022 Congreso Internacional de Innovación y Tendencias en Ingeniería (CONIITI)","","","10.1109/CONIITI57704.2022.9953661","","","2022","2025-03-12 00:43:04","2025-03-12 00:43:04","","1-6","","","","","","","","","","","","","","","","","","","","","","","","Business process management; BPM; Companies; Measurement; Object recognition; Design methodology; Instruments; process management; risk management; Risk management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z2VHXIXQ","journalArticle","2023","Gaol, Ford Lumban; Nugraha, Grahita Djati; Matsuo, Tokuro","Decision as a Service for Transaction Banking Using Service-Oriented Modeling Architecture Methodology","IEEE Access","","","10.1109/ACCESS.2023.3268284","","","2023","2025-03-12 00:43:04","2025-03-12 00:54:42","","41455-41466","","","11","","","","","","","","","","","","","","","","","","","","","Banking; business process management (BPM); Business; Adaptation models; Collaboration; Computer architecture; Process monitoring; System integration; application programming interface (API); Application Programming Interfaces; business rule management (BRM); enterprise service bus (ESB); Service oriented modelling architecture (SOMA); Service-oriented systems engineering; transaction banking","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
